,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
82,Corsair CMH32GX4M2Z3200C16 16GB,31,20.5,16.0,$201.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2Z3200C16+16GB&id=16043,"6,129 KOps/Sec","34,027 MBytes/Sec","21,436 MBytes/Sec","14,505 MBytes/Sec",45 ns (lower is better),"40,776 MBytes/Sec"
83,Corsair CMH32GX4M2Z3600C18 16GB,35,20.5,16.0,$202.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2Z3600C18+16GB&id=16163,"6,376 KOps/Sec","34,103 MBytes/Sec","21,864 MBytes/Sec","15,018 MBytes/Sec",45 ns (lower is better),"44,300 MBytes/Sec"
84,Corsair CMK128GX4M4A2400C16 32GB,29,17.4,13.7,$888.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M4A2400C16+32GB&id=14144,"7,737 KOps/Sec","33,448 MBytes/Sec","16,661 MBytes/Sec","12,527 MBytes/Sec",45 ns (lower is better),"42,676 MBytes/Sec"
85,Corsair CMK128GX4M8A2133C13 16GB,26,15.2,11.0,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8A2133C13+16GB&id=7925,"3,980 KOps/Sec","24,649 MBytes/Sec","14,801 MBytes/Sec","9,659 MBytes/Sec",42 ns (lower is better),"42,196 MBytes/Sec"
86,Corsair CMK128GX4M8A2666C16 16GB,47,11.9,12.5,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8A2666C16+16GB&id=9035,"5,548 KOps/Sec","28,511 MBytes/Sec","12,071 MBytes/Sec","12,385 MBytes/Sec",49 ns (lower is better),"55,064 MBytes/Sec"
87,Corsair CMK128GX4M8B3000C16 16GB,40,13.4,11.9,$764.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8B3000C16+16GB&id=9390,"5,326 KOps/Sec","27,782 MBytes/Sec","12,955 MBytes/Sec","10,967 MBytes/Sec",49 ns (lower is better),"53,512 MBytes/Sec"
88,Corsair CMK128GX4M8B3200C16 16GB,27,14.3,9.9,$949.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8B3200C16+16GB&id=10189,NA,"25,873 MBytes/Sec","14,331 MBytes/Sec","9,905 MBytes/Sec",27 ns (lower is better),NA
89,Corsair CMK16GX4M1A2400C14 16GB,38,14.5,10.7,$72.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2400C14+16GB&id=9076,"4,072 KOps/Sec","27,735 MBytes/Sec","15,048 MBytes/Sec","10,673 MBytes/Sec",41 ns (lower is better),"34,180 MBytes/Sec"
90,Corsair CMK16GX4M1A2400C16 16GB,32,16.0,12.0,$71.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2400C16+16GB&id=9919,"4,603 KOps/Sec","30,705 MBytes/Sec","16,648 MBytes/Sec","11,798 MBytes/Sec",37 ns (lower is better),"30,877 MBytes/Sec"
91,Corsair CMK16GX4M1A2666C16 16GB,32,16.4,12.9,$73.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2666C16+16GB&id=9335,"5,315 KOps/Sec","32,126 MBytes/Sec","16,565 MBytes/Sec","11,385 MBytes/Sec",40 ns (lower is better),"31,969 MBytes/Sec"
92,Corsair CMK16GX4M1B3000C15 16GB,29,17.9,14.9,$81.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1B3000C15+16GB&id=8355,"5,745 KOps/Sec","31,832 MBytes/Sec","18,184 MBytes/Sec","13,699 MBytes/Sec",37 ns (lower is better),"36,225 MBytes/Sec"
93,Corsair CMK16GX4M1C3000C16 16GB,21,18.4,9.8,$383.96*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1C3000C16+16GB&id=11791,NA,"34,447 MBytes/Sec","18,446 MBytes/Sec","9,813 MBytes/Sec",21 ns (lower is better),NA
94,Corsair CMK16GX4M1D3000C16 16GB,30,17.9,14.4,$92.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1D3000C16+16GB&id=12166,"5,494 KOps/Sec","32,054 MBytes/Sec","17,345 MBytes/Sec","12,515 MBytes/Sec",40 ns (lower is better),"35,592 MBytes/Sec"
95,Corsair CMK16GX4M2A2133C13 8GB,33,16.0,11.7,$95.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2133C13+8GB&id=7949,"3,710 KOps/Sec","28,648 MBytes/Sec","16,072 MBytes/Sec","11,323 MBytes/Sec",38 ns (lower is better),"27,120 MBytes/Sec"
96,Corsair CMK16GX4M2A2400C14 8GB,32,16.6,12.2,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2400C14+8GB&id=7332,"3,854 KOps/Sec","29,045 MBytes/Sec","16,318 MBytes/Sec","11,332 MBytes/Sec",38 ns (lower is better),"29,360 MBytes/Sec"
97,Corsair CMK16GX4M2A2400C16 8GB,31,16.8,12.4,$89.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2400C16+8GB&id=8156,"4,028 KOps/Sec","29,370 MBytes/Sec","16,504 MBytes/Sec","10,937 MBytes/Sec",41 ns (lower is better),"30,753 MBytes/Sec"
98,Corsair CMK16GX4M2A2666C16 8GB,31,16.9,12.8,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2666C16+8GB&id=7837,"4,374 KOps/Sec","30,071 MBytes/Sec","16,635 MBytes/Sec","11,377 MBytes/Sec",39 ns (lower is better),"31,662 MBytes/Sec"
99,Corsair CMK16GX4M2A2800C16 8GB,31,17.3,12.8,$122.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2800C16+8GB&id=8599,"4,544 KOps/Sec","30,331 MBytes/Sec","19,018 MBytes/Sec","13,456 MBytes/Sec",34 ns (lower is better),"34,683 MBytes/Sec"
100,Corsair CMK16GX4M2B2800C14 8GB,28,18.1,12.6,$126.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B2800C14+8GB&id=8628,"4,262 KOps/Sec","24,373 MBytes/Sec","15,945 MBytes/Sec","11,271 MBytes/Sec",35 ns (lower is better),"28,488 MBytes/Sec"
101,Corsair CMK16GX4M2B3000C15 8GB,29,17.9,13.8,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3000C15+8GB&id=7918,"4,506 KOps/Sec","30,534 MBytes/Sec","17,696 MBytes/Sec","11,802 MBytes/Sec",40 ns (lower is better),"35,075 MBytes/Sec"
102,Corsair CMK16GX4M2B3200C14 8GB,22,18.2,13.9,$174.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3200C14+8GB&id=9082,"4,263 KOps/Sec","19,287 MBytes/Sec","19,790 MBytes/Sec","15,672 MBytes/Sec",23 ns (lower is better),"39,731 MBytes/Sec"
103,Corsair CMK16GX4M2B3200C16 8GB,29,18.6,14.6,$119.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3200C16+8GB&id=7966,"4,835 KOps/Sec","31,542 MBytes/Sec","18,429 MBytes/Sec","12,447 MBytes/Sec",40 ns (lower is better),"37,468 MBytes/Sec"
104,Corsair CMK16GX4M2B3333C16 8GB,27,18.4,14.2,$521.41*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3333C16+8GB&id=8786,"3,154 KOps/Sec","26,948 MBytes/Sec","17,586 MBytes/Sec","11,908 MBytes/Sec",39 ns (lower is better),"36,578 MBytes/Sec"
105,Corsair CMK16GX4M2B3466C16 8GB,29,18.6,13.7,$189.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3466C16+8GB&id=8307,"4,193 KOps/Sec","30,396 MBytes/Sec","17,649 MBytes/Sec","12,868 MBytes/Sec",34 ns (lower is better),"33,325 MBytes/Sec"
106,Corsair CMK16GX4M2B3600C18 8GB,29,17.6,13.3,$178.20*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3600C18+8GB&id=8496,"5,077 KOps/Sec","31,708 MBytes/Sec","18,779 MBytes/Sec","13,310 MBytes/Sec",35 ns (lower is better),"40,029 MBytes/Sec"
107,Corsair CMK16GX4M2B3733C17 8GB,21,19.9,17.8,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3733C17+8GB&id=8986,"6,116 KOps/Sec","32,585 MBytes/Sec","18,392 MBytes/Sec","14,511 MBytes/Sec",37 ns (lower is better),"38,101 MBytes/Sec"
108,Corsair CMK16GX4M2C3000C16 8GB,29,17.3,13.1,$200.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2C3000C16+8GB&id=11160,"4,449 KOps/Sec","29,732 MBytes/Sec","17,041 MBytes/Sec","11,542 MBytes/Sec",37 ns (lower is better),"32,835 MBytes/Sec"
109,Corsair CMK16GX4M2C3333C16 8GB,23,21.3,17.6,$93.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2C3333C16+8GB&id=12938,"7,926 KOps/Sec","35,490 MBytes/Sec","21,343 MBytes/Sec","17,583 MBytes/Sec",23 ns (lower is better),"42,605 MBytes/Sec"
110,Corsair CMK16GX4M2D3000C16 8GB,31,17.7,13.6,$100.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3000C16+8GB&id=11881,"4,374 KOps/Sec","30,447 MBytes/Sec","17,437 MBytes/Sec","10,992 MBytes/Sec",42 ns (lower is better),"35,287 MBytes/Sec"
111,Corsair CMK16GX4M2D3200C16 8GB,29,17.8,14.2,$131.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3200C16+8GB&id=10868,"5,091 KOps/Sec","31,500 MBytes/Sec","17,321 MBytes/Sec","11,828 MBytes/Sec",39 ns (lower is better),"37,124 MBytes/Sec"
112,Corsair CMK16GX4M2D3600C18 8GB,31,18.2,14.9,$105.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3600C18+8GB&id=13536,"5,313 KOps/Sec","32,614 MBytes/Sec","19,748 MBytes/Sec","13,350 MBytes/Sec",41 ns (lower is better),"41,256 MBytes/Sec"
113,Corsair CMK16GX4M2E3200C16 8GB,33,19.6,14.2,$89.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E3200C16+8GB&id=13467,"5,038 KOps/Sec","32,370 MBytes/Sec","19,759 MBytes/Sec","12,953 MBytes/Sec",43 ns (lower is better),"37,990 MBytes/Sec"
114,Corsair CMK16GX4M2E4000C19 8GB,32,15.1,12.6,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E4000C19+8GB&id=10719,"5,286 KOps/Sec","31,200 MBytes/Sec","15,897 MBytes/Sec","12,828 MBytes/Sec",35 ns (lower is better),"37,900 MBytes/Sec"
115,Corsair CMK16GX4M2E4333C19 8GB,25,16.5,12.3,$530.27*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E4333C19+8GB&id=11674,"4,875 KOps/Sec","29,853 MBytes/Sec","14,617 MBytes/Sec","10,757 MBytes/Sec",39 ns (lower is better),"28,764 MBytes/Sec"
116,Corsair CMK16GX4M2F4500C19 8GB,16,22.2,17.7,$898.15*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2F4500C19+8GB&id=11543,NA,"32,557 MBytes/Sec","22,163 MBytes/Sec","17,708 MBytes/Sec",16 ns (lower is better),NA
117,Corsair CMK16GX4M2K4133C19 8GB,29,16.4,11.7,$226.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4133C19+8GB&id=13042,"5,756 KOps/Sec","31,683 MBytes/Sec","16,446 MBytes/Sec","11,662 MBytes/Sec",29 ns (lower is better),"28,396 MBytes/Sec"
118,Corsair CMK16GX4M2K4266C19 8GB,25,18.7,15.3,$269.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4266C19+8GB&id=12815,"6,574 KOps/Sec","33,386 MBytes/Sec","20,027 MBytes/Sec","16,145 MBytes/Sec",26 ns (lower is better),"38,421 MBytes/Sec"
119,Corsair CMK16GX4M2K4400C19 8GB,23,19.4,17.6,$692.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2K4400C19+8GB&id=12825,"8,058 KOps/Sec","34,831 MBytes/Sec","19,228 MBytes/Sec","17,452 MBytes/Sec",24 ns (lower is better),"44,541 MBytes/Sec"
120,Corsair CMK16GX4M2L3000C15 8GB,27,18.6,14.3,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2L3000C15+8GB&id=11415,"5,042 KOps/Sec","31,373 MBytes/Sec","18,162 MBytes/Sec","13,072 MBytes/Sec",34 ns (lower is better),"35,443 MBytes/Sec"
121,Corsair CMK16GX4M2Z2400C16 8GB,30,17.4,13.2,$95.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2400C16+8GB&id=10646,"4,264 KOps/Sec","29,378 MBytes/Sec","16,788 MBytes/Sec","10,545 MBytes/Sec",44 ns (lower is better),"33,249 MBytes/Sec"
122,Corsair CMK16GX4M2Z2666C16 8GB,31,16.2,13.0,$98.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2666C16+8GB&id=10683,"3,763 KOps/Sec","28,432 MBytes/Sec","16,182 MBytes/Sec","9,871 MBytes/Sec",47 ns (lower is better),"35,428 MBytes/Sec"
123,Corsair CMK16GX4M2Z2933C16 8GB,30,17.5,14.6,$201.43*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z2933C16+8GB&id=12261,"4,448 KOps/Sec","30,095 MBytes/Sec","17,619 MBytes/Sec","10,885 MBytes/Sec",43 ns (lower is better),"37,949 MBytes/Sec"
124,Corsair CMK16GX4M2Z3200C16 8GB,29,19.6,15.4,$99.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3200C16+8GB&id=10878,"4,873 KOps/Sec","31,895 MBytes/Sec","19,043 MBytes/Sec","12,317 MBytes/Sec",40 ns (lower is better),"40,115 MBytes/Sec"
125,Corsair CMK16GX4M2Z3466C16 8GB,40,19.2,10.7,$132.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3466C16+8GB&id=12508,"5,145 KOps/Sec","31,703 MBytes/Sec","21,283 MBytes/Sec","12,876 MBytes/Sec",38 ns (lower is better),"44,357 MBytes/Sec"
126,Corsair CMK16GX4M2Z3600C18 8GB,29,18.7,15.5,$99.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3600C18+8GB&id=12463,"5,514 KOps/Sec","32,749 MBytes/Sec","20,389 MBytes/Sec","13,887 MBytes/Sec",39 ns (lower is better),"43,959 MBytes/Sec"
127,Corsair CMK16GX4M2Z3600C20 8GB,30,17.4,14.5,$155.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2Z3600C20+8GB&id=14933,"5,043 KOps/Sec","32,217 MBytes/Sec","18,091 MBytes/Sec","12,205 MBytes/Sec",38 ns (lower is better),"39,357 MBytes/Sec"
128,Corsair CMK16GX4M4A2133C13 4GB,39,14.5,10.8,$94.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2133C13+4GB&id=6923,"4,413 KOps/Sec","27,882 MBytes/Sec","14,803 MBytes/Sec","10,850 MBytes/Sec",42 ns (lower is better),"39,851 MBytes/Sec"
129,Corsair CMK16GX4M4A2133C15 4GB,28,13.4,10.4,$132.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2133C15+4GB&id=6812,"3,891 KOps/Sec","22,749 MBytes/Sec","15,271 MBytes/Sec","10,621 MBytes/Sec",39 ns (lower is better),"29,339 MBytes/Sec"
130,Corsair CMK16GX4M4A2400C14 4GB,37,15.0,11.5,$252.02*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2400C14+4GB&id=6625,"4,234 KOps/Sec","27,906 MBytes/Sec","15,571 MBytes/Sec","11,476 MBytes/Sec",39 ns (lower is better),"38,847 MBytes/Sec"
131,Corsair CMK16GX4M4A2400C16 4GB,27,15.8,11.9,$210.03*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2400C16+4GB&id=7933,"3,608 KOps/Sec","25,409 MBytes/Sec","15,119 MBytes/Sec","10,927 MBytes/Sec",36 ns (lower is better),"33,274 MBytes/Sec"
132,Corsair CMK16GX4M4A2666C15 4GB,40,13.7,10.4,$176.04*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2666C15+4GB&id=6286,"3,986 KOps/Sec","26,838 MBytes/Sec","14,530 MBytes/Sec","10,276 MBytes/Sec",42 ns (lower is better),"37,880 MBytes/Sec"
133,Corsair CMK16GX4M4A2666C16 4GB,38,14.7,11.8,$319.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2666C16+4GB&id=6410,"4,400 KOps/Sec","28,465 MBytes/Sec","14,903 MBytes/Sec","11,332 MBytes/Sec",41 ns (lower is better),"41,224 MBytes/Sec"
134,Corsair CMK16GX4M4A2800C16 4GB,38,14.3,11.2,$204.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4A2800C16+4GB&id=6301,"4,450 KOps/Sec","27,433 MBytes/Sec","15,110 MBytes/Sec","11,476 MBytes/Sec",39 ns (lower is better),"41,864 MBytes/Sec"
135,Corsair CMK16GX4M4B3000C15 4GB,32,17.0,13.7,$359.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3000C15+4GB&id=7057,"4,612 KOps/Sec","28,927 MBytes/Sec","17,198 MBytes/Sec","13,467 MBytes/Sec",35 ns (lower is better),"38,938 MBytes/Sec"
136,Corsair CMK16GX4M4B3200C15 4GB,22,17.6,13.7,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3200C15+4GB&id=7668,NA,"24,613 MBytes/Sec","17,643 MBytes/Sec","13,684 MBytes/Sec",22 ns (lower is better),NA
137,Corsair CMK16GX4M4B3200C16 4GB,25,15.7,12.4,$119.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3200C16+4GB&id=8068,"5,228 KOps/Sec","29,779 MBytes/Sec","18,550 MBytes/Sec","11,480 MBytes/Sec",46 ns (lower is better),"36,943 MBytes/Sec"
138,Corsair CMK16GX4M4B3300C16 4GB,23,17.3,13.3,$159.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3300C16+4GB&id=7943,NA,"22,906 MBytes/Sec","17,316 MBytes/Sec","13,255 MBytes/Sec",23 ns (lower is better),NA
139,Corsair CMK16GX4M4B3400C16 4GB,30,17.3,13.7,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3400C16+4GB&id=8380,"5,484 KOps/Sec","29,659 MBytes/Sec","17,279 MBytes/Sec","13,747 MBytes/Sec",30 ns (lower is better),"28,208 MBytes/Sec"
140,Corsair CMK16GX4M4B3600C18 4GB,33,15.7,11.4,$159.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3600C18+4GB&id=9813,"5,084 KOps/Sec","26,285 MBytes/Sec","19,781 MBytes/Sec","14,643 MBytes/Sec",31 ns (lower is better),"48,568 MBytes/Sec"
141,Corsair CMK16GX4M4B3733C17 4GB,21,21.7,18.9,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3733C17+4GB&id=10475,"4,764 KOps/Sec","31,766 MBytes/Sec","19,102 MBytes/Sec","15,601 MBytes/Sec",33 ns (lower is better),"44,210 MBytes/Sec"
142,Corsair CMK16GX4M4C3000C16 4GB,29,12.3,13.2,$96.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3000C16+4GB&id=12001,"4,212 KOps/Sec","29,143 MBytes/Sec","14,723 MBytes/Sec","12,236 MBytes/Sec",37 ns (lower is better),"39,397 MBytes/Sec"
143,Corsair CMK16GX4M4C3200C15 4GB,28,16.6,13.0,$104.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3200C15+4GB&id=8778,"5,513 KOps/Sec","30,478 MBytes/Sec","16,616 MBytes/Sec","12,955 MBytes/Sec",28 ns (lower is better),"29,888 MBytes/Sec"
144,Corsair CMK16GX4M4C3200C16 4GB,35,16.3,12.7,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4C3200C16+4GB&id=8097,"4,599 KOps/Sec","29,567 MBytes/Sec","17,179 MBytes/Sec","12,777 MBytes/Sec",37 ns (lower is better),"44,458 MBytes/Sec"
145,Corsair CMK32GX4M2A2133C13 16GB,36,15.9,11.4,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2133C13+16GB&id=8726,"3,742 KOps/Sec","28,586 MBytes/Sec","15,928 MBytes/Sec","11,339 MBytes/Sec",38 ns (lower is better),"27,423 MBytes/Sec"
146,Corsair CMK32GX4M2A2400C14 16GB,33,16.1,11.8,$185.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2400C14+16GB&id=7909,"4,295 KOps/Sec","29,372 MBytes/Sec","16,146 MBytes/Sec","11,233 MBytes/Sec",41 ns (lower is better),"30,586 MBytes/Sec"
147,Corsair CMK32GX4M2A2400C16 16GB,33,16.2,12.3,$200.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2400C16+16GB&id=8948,"4,605 KOps/Sec","29,963 MBytes/Sec","16,466 MBytes/Sec","11,741 MBytes/Sec",39 ns (lower is better),"30,824 MBytes/Sec"
148,Corsair CMK32GX4M2A2666C16 16GB,32,16.6,12.9,$189.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2666C16+16GB&id=7780,"5,068 KOps/Sec","31,172 MBytes/Sec","16,430 MBytes/Sec","11,940 MBytes/Sec",40 ns (lower is better),"31,779 MBytes/Sec"
149,Corsair CMK32GX4M2A2800C16 16GB,39,15.0,12.1,$289.29*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2A2800C16+16GB&id=8384,"4,818 KOps/Sec","29,460 MBytes/Sec","16,432 MBytes/Sec","12,379 MBytes/Sec",41 ns (lower is better),"34,658 MBytes/Sec"
150,Corsair CMK32GX4M2B3000C15 16GB,30,18.0,14.3,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3000C15+16GB&id=7924,"5,308 KOps/Sec","31,649 MBytes/Sec","17,612 MBytes/Sec","13,036 MBytes/Sec",38 ns (lower is better),"35,483 MBytes/Sec"
151,Corsair CMK32GX4M2B3200C16 16GB,29,18.0,14.7,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3200C16+16GB&id=8001,"5,805 KOps/Sec","32,570 MBytes/Sec","18,046 MBytes/Sec","13,554 MBytes/Sec",38 ns (lower is better),"37,703 MBytes/Sec"
152,Corsair CMK32GX4M2B3333C16 16GB,19,20.7,16.6,$349.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3333C16+16GB&id=10449,NA,"31,301 MBytes/Sec","20,705 MBytes/Sec","16,601 MBytes/Sec",19 ns (lower is better),NA
153,Corsair CMK32GX4M2B3466C16 16GB,27,19.0,14.3,$764.01*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2B3466C16+16GB&id=10611,"4,974 KOps/Sec","31,361 MBytes/Sec","19,020 MBytes/Sec","14,321 MBytes/Sec",27 ns (lower is better),"31,763 MBytes/Sec"
154,Corsair CMK32GX4M2C3200C18 16GB,29,17.6,13.7,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2C3200C18+16GB&id=18230,"6,812 KOps/Sec","29,155 MBytes/Sec","17,802 MBytes/Sec","12,896 MBytes/Sec",35 ns (lower is better),"40,072 MBytes/Sec"
155,Corsair CMK32GX4M2C3333C16 16GB,24,20.4,16.8,$189.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2C3333C16+16GB&id=12707,"6,954 KOps/Sec","33,569 MBytes/Sec","20,099 MBytes/Sec","15,461 MBytes/Sec",35 ns (lower is better),"43,532 MBytes/Sec"
156,Corsair CMK32GX4M2D3000C16 16GB,31,17.3,13.8,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3000C16+16GB&id=11878,"5,534 KOps/Sec","32,031 MBytes/Sec","17,187 MBytes/Sec","12,463 MBytes/Sec",39 ns (lower is better),"35,026 MBytes/Sec"
157,Corsair CMK32GX4M2D3200C16 16GB,29,18.0,14.6,$413.25*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3200C16+16GB&id=11066,"5,578 KOps/Sec","32,496 MBytes/Sec","17,940 MBytes/Sec","12,986 MBytes/Sec",39 ns (lower is better),"38,219 MBytes/Sec"
158,Corsair CMK32GX4M2D3600C18 16GB,33,19.6,15.4,$195.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2D3600C18+16GB&id=14250,"6,366 KOps/Sec","33,989 MBytes/Sec","21,133 MBytes/Sec","15,047 MBytes/Sec",42 ns (lower is better),"42,765 MBytes/Sec"
159,Corsair CMK32GX4M2F4000C19 16GB,29,18.5,16.2,$655.39*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2F4000C19+16GB&id=11447,"7,126 KOps/Sec","33,816 MBytes/Sec","19,867 MBytes/Sec","16,124 MBytes/Sec",36 ns (lower is better),"46,880 MBytes/Sec"
160,Corsair CMK32GX4M2K4133C19 16GB,30,16.5,14.3,$849.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2K4133C19+16GB&id=12178,"7,360 KOps/Sec","34,611 MBytes/Sec","17,819 MBytes/Sec","16,270 MBytes/Sec",30 ns (lower is better),"39,115 MBytes/Sec"
161,Corsair CMK32GX4M2L3000C15 16GB,24,19.1,15.1,$744.26*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2L3000C15+16GB&id=11552,"3,915 KOps/Sec","28,554 MBytes/Sec","17,199 MBytes/Sec","12,219 MBytes/Sec",48 ns (lower is better),"30,960 MBytes/Sec"
162,Corsair CMK32GX4M2L3200C16 16GB,24,19.4,16.5,$456.81*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2L3200C16+16GB&id=11987,"5,842 KOps/Sec","31,887 MBytes/Sec","18,333 MBytes/Sec","13,689 MBytes/Sec",33 ns (lower is better),"36,588 MBytes/Sec"
163,Corsair CMK32GX4M2Z2400C16 16GB,33,16.0,12.3,$178.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M2Z2400C16+16GB&id=10662,"4,907 KOps/Sec","30,492 MBytes/Sec","17,050 MBytes/Sec","11,328 MBytes/Sec",43 ns (lower is better),"29,833 MBytes/Sec"
164,Corsair CMK32GX4M4A2133C13 8GB,36,15.6,11.7,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4A2133C13+8GB&id=6874,"4,374 KOps/Sec","29,096 MBytes/Sec","15,849 MBytes/Sec","11,530 MBytes/Sec",40 ns (lower is better),"32,578 MBytes/Sec"
